merge_factor,Ndaphnia,X240m,death.p,phylo
Arhopala micale,50,14,0.28,BN004507_EI16D223_Lycaenidae_Theclinae_Arhopalini_Arhopala_thamyras
Arrhenes dschilus,120,20,0.166666667,BN000141_311_Hesperiidae_Hesperiinae_Taractrocerini_Arrhenes_dschilus
Belenois java,111,19,0.170247934,BN002237_LEP46735_Pieridae_Pierinae_Pierini_Belenois_java
Candalides absimilis,40,26,0.65,RE05D052_X_Lycaenidae_Theclinae_Candalidini_Candalides_xanthospilos_X_ME
Candalides hyacinthinus,50,6,0.12,RE05D052_X_Lycaenidae_Theclinae_Candalidini_Candalides_xanthospilos_X_ME
Catopsilia pomona_Female,50,4,0.08,BN002319_DL13F181_Pieridae_Coliadinae_X_Catopsilia_scylla
Catopsilia pomona_Male,50,16,0.32,BN002319_DL13F181_Pieridae_Coliadinae_X_Catopsilia_scylla
Cephrenes augiades,30,1,0.033333333,BN000246_121_Hesperiidae_Hesperiinae_Taractrocerini_Cephrenes_augiades
Cepora perimale,50,8,0.16,BN002330_DL16V155_Pieridae_Pierinae_Pierini_Cepora_nerissa
Cethosia cydippe,30,10,0.333333333,BN004321_JT10K020_Nymphalidae_Heliconiinae_Acraeini_Cethosia_cydippe
Cupha prosope,60,29,0.483333333,BN004461_DL16V317_Nymphalidae_Heliconiinae_Vagrantini_Cupha_erymanthis
Danaus affinis,50,31,0.62,GCA0049599151_X_Nymphalidae_Danainae_Danaini_Danaus_chrysippus
Danaus petilia,30,5,0.166666667,GCA0049599151_X_Nymphalidae_Danainae_Danaini_Danaus_chrysippus
Danaus plexippus,100,33,0.33,DanausR_X_Nymphalidae_Danainae_Danaini_Danaus_plexippus
Delias argenthona,30,6,0.2,SRR4341246_X_Pieridae_Pierinae_Pierini_Delias_descombesi_oraia
Delias mysis,50,11,0.22,SRR4341246_X_Pieridae_Pierinae_Pierini_Delias_descombesi_oraia
Delias nigrina,50,0,0,SRR4341246_X_Pieridae_Pierinae_Pierini_Delias_descombesi_oraia
