"Phylo_collapsed","phylo_mean","Key","Genus"
"BN000141_311_Hesperiidae_Hesperiinae_Taractrocerini_Arrhenes_dschilus",-0.0988842450197903,"Arrhenes dschilus","Arrhenes"
"BN000246_121_Hesperiidae_Hesperiinae_Taractrocerini_Cephrenes_augiades",-0.590300618789739,"Cephrenes augiades","Cephrenes"
"BN000481_115_Hesperiidae_Trapezitinae_X_Mesodina_halyzia",-0.530354504953517,"Mesodina halyzia","Mesodina"
"BN000549_127_Hesperiidae_Hesperiinae_Taractrocerini_Ocybadistes_walkeri",0.507182192995006,"Ocybadistes flavovittatus","Ocybadistes"
"BN000717_310_Hesperiidae_Hesperiinae_Taractrocerini_Sabera_caesina",-0.256743430789685,"Sabera caesina","Sabera"
"BN000778_380_Hesperiidae_Hesperiinae_Taractrocerini_Suniana_sunias",-0.0161252005486492,"Suniana sunias","Suniana"
"BN000803_LEP37050_Hesperiidae_Hesperiinae_Taractrocerini_Telicota_augias_augias",0.209766752101703,"Telicota ancilla","Telicota"
"BN000840_111_Hesperiidae_Trapezitinae_X_Toxidia_peron",-0.553874482834215,"Toxidia peron","Toxidia"
"BN000850_89_Hesperiidae_Trapezitinae_X_Trapezites_symmomus",-0.0234651187116162,"Trapezites symmomus","Trapezites"
"BN001093_BNSZS00308_Lycaenidae_Polyommatinae_Polyommatini_Lampides_boeticus",1.39371710608849,"Lampides boeticus","Lampides"
"BN001816_DL14E002_Nymphalidae_Satyrinae_Satyrini_Heteronympha_merope",0.667337582695391,"Heteronympha merope","Heteronympha"
"BN002237_LEP46735_Pieridae_Pierinae_Pierini_Belenois_java",-0.77454305663385,"Belenois java","Belenois"
"BN002319_DL13F181_Pieridae_Coliadinae_X_Catopsilia_scylla",-0.628246751753245,"Catopsilia pomona_Female","Catopsilia"
"BN002330_DL16V155_Pieridae_Pierinae_Pierini_Cepora_nerissa",-0.896775867282854,"Cepora perimale","Cepora"
"BN002865_LEP46014_Lycaenidae_Polyommatinae_Polyommatini_Leptotes_cassius",1.71783430767165,"Leptotes plinius","Leptotes"
"BN003337_DL16V052_Nymphalidae_Limenitidinae_Neptini_Pantoporia_hordonia",1.51467998901291,"Pantoporia consimilis","Pantoporia"
"BN003844_KD94R072_Lycaenidae_Polyommatinae_Polyommatini_Psychonotis_caelius",0.165383745886884,"Psychonotis caelius","Psychonotis"
"BN003853_RE05C007_Nymphalidae_Satyrinae_Satyrini_Tisiphone_abeona",-0.662082084313398,"Tisiphone abeona","Tisiphone"
"BN003906_DL09X120_Lycaenidae_Polyommatinae_Polyommatini_Zizula_hylax",1.62399475808688,"Zizula hylax","Zizula"
"BN003931_KD93C025_Lycaenidae_Polyommatinae_Polyommatini_Nacaduba_kurava",-0.0947191139891307,"Nacaduba berenice","Nacaduba"
"BN003991_MFB00P612_Lycaenidae_Polyommatinae_Polyommatini_Theclinesthes_miskini",1.37700804747817,"Theclinesthes onycha","Theclinesthes"
"BN004004_DL01Q533_Lycaenidae_Polyommatinae_Polyommatini_Zizina_otis",0.897083069483873,"Zizina otis_Female","Zizina"
"BN004321_JT10K020_Nymphalidae_Heliconiinae_Acraeini_Cethosia_cydippe",0.643811092543836,"Cethosia cydippe","Cethosia"
"BN004362_DL02P763_Nymphalidae_Satyrinae_Satyrini_Mycalesis_francisca",-0.0604805828105304,"Mycalesis perseus","Mycalesis"
"BN004461_DL16V317_Nymphalidae_Heliconiinae_Vagrantini_Cupha_erymanthis",1.14469831316935,"Cupha prosope","Cupha"
"BN004507_EI16D223_Lycaenidae_Theclinae_Arhopalini_Arhopala_thamyras",-0.108831327557505,"Arhopala micale","Arhopala"
"BN004536_HD14B023_Nymphalidae_Danainae_Danaini_Euploea_phaenareta",0.477666001768073,"Euploea corinna","Euploea"
"BN005507_DH18R117_Nymphalidae_Satyrinae_Satyrini_Hypocysta_calypso",0.870052729904486,"Hypocysta metirius","Hypocysta"
"BN007169_LEP50891_Pieridae_Pierinae_Pierini_Pieris_rapae",-2.5642481880468,"Pieris rapae","Pieris"
"BN007174_LEP28963_Nymphalidae_Nymphalinae_Nymphalini_Vanessa_indica",-0.0779745788030602,"Vanessa kershawi","Vanessa"
"BN007178_LEP37028B_Nymphalidae_Nymphalinae_Kallimini_Hypolimnas_bolina",-0.413250886073514,"Hypolimnas bolina_Female","Hypolimnas"
"DRR087481_X_Pieridae_Coliadinae_X_Eurema_mandarina",-0.121788020704503,"Eurema hecabe","Eurema"
"GCA0049599151_X_Nymphalidae_Danainae_Danaini_Danaus_chrysippus",0.713116350965503,"Danaus affinis","Danaus"
"LEP25269_X_Nymphalidae_Satyrinae_Satyrini_Ypthima_argus_X_ME",0.279452934201831,"Ypthima arctous","Ypthima"
"ME11B073_X_Nymphalidae_Satyrinae_Melanitini_Melanitis_leda_X_ME",-0.140227153731551,"Melanitis leda","Melanitis"
"ME12C211_X_Hesperiidae_Hesperiinae_Baorini_Pelopidas_mathias_X_ME",0.648085612425665,"Pelopidas agna","Pelopidas"
