"Genus_Key","Phylo","Key","phylo_mean","n_species"
"Arhopala","BN004507_EI16D223_Lycaenidae_Theclinae_Arhopalini_Arhopala_thamyras","Arhopala micale",-0.108831327557505,1
"Arrhenes","BN000141_311_Hesperiidae_Hesperiinae_Taractrocerini_Arrhenes_dschilus","Arrhenes dschilus",-0.0988842450197903,1
"Belenois","BN002237_LEP46735_Pieridae_Pierinae_Pierini_Belenois_java","Belenois java",-0.77454305663385,1
"Candalides","RE05D052_X_Lycaenidae_Theclinae_Candalidini_Candalides_xanthospilos_X_ME","Candalides absimilis",0.482104937224931,2
"Catopsilia","BN002319_DL13F181_Pieridae_Coliadinae_X_Catopsilia_scylla","Catopsilia pomona_Female",-0.628246751753245,2
"Cephrenes","BN000246_121_Hesperiidae_Hesperiinae_Taractrocerini_Cephrenes_augiades","Cephrenes augiades",-0.590300618789739,1
"Cepora","BN002330_DL16V155_Pieridae_Pierinae_Pierini_Cepora_nerissa","Cepora perimale",-0.896775867282854,1
"Cethosia","BN004321_JT10K020_Nymphalidae_Heliconiinae_Acraeini_Cethosia_cydippe","Cethosia cydippe",0.643811092543836,1
"Cupha","BN004461_DL16V317_Nymphalidae_Heliconiinae_Vagrantini_Cupha_erymanthis","Cupha prosope",1.14469831316935,1
"Danaus","DanausR_X_Nymphalidae_Danainae_Danaini_Danaus_plexippus","Danaus plexippus",0.713116350965503,3
"Delias","SRR4341246_X_Pieridae_Pierinae_Pierini_Delias_descombesi_oraia","Delias argenthona",-0.896951917696446,3
"Euploea","BN004536_HD14B023_Nymphalidae_Danainae_Danaini_Euploea_phaenareta","Euploea corinna",0.477666001768073,2
"Eurema","DRR087481_X_Pieridae_Coliadinae_X_Eurema_mandarina","Eurema hecabe",-0.121788020704503,3
"Graphium","RF140004_X_Papilionidae_Papilioninae_Leptocircini_Graphium_agamemnon_X_ME","Graphium choredon",-0.632799508184405,1
"Heteronympha","BN001816_DL14E002_Nymphalidae_Satyrinae_Satyrini_Heteronympha_merope","Heteronympha merope",0.667337582695391,2
"Hypocysta","BN005507_DH18R117_Nymphalidae_Satyrinae_Satyrini_Hypocysta_calypso","Hypocysta metirius",0.870052729904486,1
"Hypolimnas","BN007178_LEP37028B_Nymphalidae_Nymphalinae_Kallimini_Hypolimnas_bolina","Hypolimnas bolina_Female",-0.413250886073514,2
"Hypolycaena","TN04X153_X_Lycaenidae_Theclinae_Hypolycaenini_Hypolycaena_phorbas_X_ME","Hypolycaena phorbas",0.858417019706049,1
"Junonia","SRR1145747_X_Nymphalidae_Nymphalinae_Junoniini_Junonia_coenia","Junonia hedonia",-0.875966000537545,2
"Lampides","BN001093_BNSZS00308_Lycaenidae_Polyommatinae_Polyommatini_Lampides_boeticus","Lampides boeticus",1.39371710608849,1
"Leptotes","BN002865_LEP46014_Lycaenidae_Polyommatinae_Polyommatini_Leptotes_cassius","Leptotes plinius",1.71783430767165,1
"Melanitis","ME11B073_X_Nymphalidae_Satyrinae_Melanitini_Melanitis_leda_X_ME","Melanitis leda",-0.140227153731551,1
"Mesodina","BN000481_115_Hesperiidae_Trapezitinae_X_Mesodina_halyzia","Mesodina halyzia",-0.530354504953517,1
"Mycalesis","BN004362_DL02P763_Nymphalidae_Satyrinae_Satyrini_Mycalesis_francisca","Mycalesis perseus",-0.0604805828105304,3
"Nacaduba","BN003931_KD93C025_Lycaenidae_Polyommatinae_Polyommatini_Nacaduba_kurava","Nacaduba berenice",-0.0947191139891307,2
"Notocrypta","SRR7174518_X_Hesperiidae_Hesperiinae_Erionotini_Notocrypta_feisthamelii","Notocrypta waigensis",-1.3679068810566,1
"Ocybadistes","BN000549_127_Hesperiidae_Hesperiinae_Taractrocerini_Ocybadistes_walkeri","Ocybadistes walkeri",0.507182192995006,2
"Pantoporia","BN003337_DL16V052_Nymphalidae_Limenitidinae_Neptini_Pantoporia_hordonia","Pantoporia consimilis",1.51467998901291,1
"Papilio","SRR5879306_X_Papilionidae_Papilioninae_Papilionini_Papilio_ambrax","Papilio aegeus",0.223420724137561,2
"Pelopidas","ME12C211_X_Hesperiidae_Hesperiinae_Baorini_Pelopidas_mathias_X_ME","Pelopidas agna",0.648085612425665,2
"Pieris","BN007169_LEP50891_Pieridae_Pierinae_Pierini_Pieris_rapae","Pieris rapae",-2.5642481880468,1
"Psychonotis","BN003844_KD94R072_Lycaenidae_Polyommatinae_Polyommatini_Psychonotis_caelius","Psychonotis caelius",0.165383745886884,1
"Sabera","BN000717_310_Hesperiidae_Hesperiinae_Taractrocerini_Sabera_caesina","Sabera caesina",-0.256743430789685,2
"Suniana","BN000778_380_Hesperiidae_Hesperiinae_Taractrocerini_Suniana_sunias","Suniana sunias",-0.0161252005486492,1
"Telicota","BN000803_LEP37050_Hesperiidae_Hesperiinae_Taractrocerini_Telicota_augias_augias","Telicota ancilla",0.209766752101703,2
"Theclinesthes","BN003991_MFB00P612_Lycaenidae_Polyommatinae_Polyommatini_Theclinesthes_miskini","Theclinesthes onycha",1.37700804747817,1
"Tisiphone","BN003853_RE05C007_Nymphalidae_Satyrinae_Satyrini_Tisiphone_abeona","Tisiphone abeona",-0.662082084313398,1
"Toxidia","BN000840_111_Hesperiidae_Trapezitinae_X_Toxidia_peron","Toxidia peron",-0.553874482834215,1
"Trapezites","BN000850_89_Hesperiidae_Trapezitinae_X_Trapezites_symmomus","Trapezites symmomus",-0.0234651187116162,1
"Vanessa","BN007174_LEP28963_Nymphalidae_Nymphalinae_Nymphalini_Vanessa_indica","Vanessa kershawi",-0.0779745788030602,1
"Ypthima","LEP25269_X_Nymphalidae_Satyrinae_Satyrini_Ypthima_argus_X_ME","Ypthima arctous",0.279452934201831,1
"Zizina","BN004004_DL01Q533_Lycaenidae_Polyommatinae_Polyommatini_Zizina_otis","Zizina otis_Female",0.897083069483873,2
"Zizula","BN003906_DL09X120_Lycaenidae_Polyommatinae_Polyommatini_Zizula_hylax","Zizula hylax",1.62399475808688,1
